video_id,title,published_at,views,likes,comments,duration_seconds,published_us_est,published_year,published_month,published_quarter,published_weekday,published_hour,like_ratio,comment_ratio,published_time_of_day,is_short,days_since_publish,views_per_day,likes_per_day,duration_bucket,playlist,top_category
k8nBWL6K884,What is Healthcare Analytics?,2/18/2025 14:01,30769,1438,85,656,2/18/2025 8:01,2025,2,Q1,Tuesday,8,0.0467,0.0028,Morning,f,120,257,12,Medium,,
hCmEfxy-BXg,Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,12/31/2024 14:01,8920,305,68,2092,12/31/2024 8:01,2024,12,Q4,Tuesday,8,0.0342,0.0076,Morning,f,169,53,2,Long,,
TtCBz1lutsY,Most Commonly Asked Questions by Aspiring Data Analysts,12/24/2024 14:00,15494,745,36,718,12/24/2024 8:00,2024,12,Q4,Tuesday,8,0.0481,0.0023,Morning,f,176,89,5,Medium,,
Ihmq-qeA5Pc,My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,12/17/2024 14:30,8725,382,125,2237,12/17/2024 8:30,2024,12,Q4,Tuesday,8,0.0438,0.0143,Morning,f,183,48,3,Long,,
wQQR60KtnFY,"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",12/10/2024 6:00,701916,28016,953,84768,12/10/2024 0:00,2024,12,Q4,Tuesday,0,0.0399,0.0014,Early Morning,f,190,3695,148,Very Long,,
oHte3qFa-oY,"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",12/3/2024 14:00,26686,745,40,6097,12/3/2024 8:00,2024,12,Q4,Tuesday,8,0.0279,0.0015,Morning,f,197,136,4,Very Long,,
P7p2OZj9ewU,"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",11/26/2024 14:00,17229,417,24,4637,11/26/2024 8:00,2024,11,Q4,Tuesday,8,0.0242,0.0014,Morning,f,204,85,3,Very Long,,
I0vQ_VLZTWg,"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",11/19/2024 14:00,408194,6736,215,7518,11/19/2024 8:00,2024,11,Q4,Tuesday,8,0.0165,0.0005,Morning,f,211,1935,32,Very Long,,
j8FSP8XuFyk,"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",11/5/2024 14:01,170820,3029,89,5410,11/5/2024 8:01,2024,11,Q4,Tuesday,8,0.0177,0.0005,Morning,f,225,760,14,Very Long,,
zXnQNytHCPM,"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",10/29/2024 13:01,83737,2007,80,9516,10/29/2024 8:01,2024,10,Q4,Tuesday,8,0.024,0.001,Morning,f,232,361,9,Very Long,,
osA1QpBcxRs,Nobody cares... so just do it!,10/24/2024 14:17,21607,2014,61,36,10/24/2024 8:17,2024,10,Q4,Thursday,8,0.0932,0.0028,Morning,t,237,92,9,Short,,short
Mdq1WWSdUtw,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",10/22/2024 14:00,85228,2034,56,9607,10/22/2024 8:00,2024,10,Q4,Tuesday,8,0.0239,0.0007,Morning,f,239,357,9,Very Long,,
CZt2BUpgjgw,Free Data Analyst Bootcamp 2024,10/17/2024 13:52,15368,1151,41,31,10/17/2024 7:52,2024,10,Q4,Thursday,7,0.0749,0.0027,Morning,t,244,63,5,Short,,short
t1fQBD4B7xk,"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",10/15/2024 14:01,52306,1387,50,9121,10/15/2024 8:01,2024,10,Q4,Tuesday,8,0.0265,0.001,Morning,f,246,213,6,Very Long,,
OT1RErkfLNQ,Learn SQL Beginner to Advanced in Under 4 Hours,10/8/2024 14:00,884062,18290,702,14698,10/8/2024 8:00,2024,10,Q4,Tuesday,8,0.0207,0.0008,Morning,f,253,3495,73,Very Long,,
_DGn-7134i0,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",10/3/2023 14:00,37669,818,44,386,10/3/2023 8:00,2023,10,Q4,Tuesday,8,0.0217,0.0012,Morning,f,624,61,2,Short,,
amb9bciHGSI,Landing a Data Job Course on Analyst Builder,9/3/2024 14:00,24013,827,96,500,9/3/2024 8:00,2024,9,Q3,Tuesday,8,0.0344,0.004,Morning,f,288,84,3,Short,,
UTMuL_86gSQ,Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,7/25/2024 14:00,58635,1649,164,367,7/25/2024 8:00,2024,7,Q3,Thursday,8,0.0281,0.0028,Morning,f,328,179,6,Short,,
wJiJXD7MVoY,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,6/18/2024 14:00,13783,812,134,1279,6/18/2024 8:00,2024,6,Q2,Tuesday,8,0.0589,0.0097,Morning,f,365,38,3,Medium,,
BzwAZ1k3WEY,Top 5 Most Common Excel Functions in Excel,6/11/2024 14:00,9307,387,9,1007,6/11/2024 8:00,2024,6,Q2,Tuesday,8,0.0416,0.001,Morning,f,372,26,2,Medium,,
5q2u8__sVhs,5 Awesome Excel Functions You've Probably Never Heard Of,6/4/2024 14:00,6599,239,17,844,6/4/2024 8:00,2024,6,Q2,Tuesday,8,0.0362,0.0026,Morning,f,379,18,1,Medium,,
UJbNEH0_nGY,How to Create Custom Functions in Excel | Lambda Functions,5/28/2024 14:00,7863,241,11,994,5/28/2024 8:00,2024,5,Q2,Tuesday,8,0.0306,0.0014,Morning,f,386,21,1,Medium,,
oz2K4HUNMW4,Top 5 Most Popular Functions In Microsoft Excel,5/21/2024 14:00,16674,457,28,992,5/21/2024 8:00,2024,5,Q2,Tuesday,8,0.0274,0.0017,Morning,f,393,43,2,Medium,,
F5v2dRYU5IA,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,5/7/2024 17:16,115296,3577,86,7480,5/7/2024 11:16,2024,5,Q2,Tuesday,11,0.031,0.0007,Morning,f,407,284,9,Very Long,,
c5ko0sedE7k,750k Subscriber Livestream! | Giveaways | Songs | Q/A,4/18/2024 20:35,5199,229,13,4996,4/18/2024 14:35,2024,4,Q2,Thursday,14,0.044,0.0025,Afternoon,f,426,13,1,Very Long,,
7b8ViCqD9JM,How to give up on the job search fast,3/27/2024 13:19,30348,2220,35,52,3/27/2024 8:19,2024,3,Q1,Wednesday,8,0.0732,0.0012,Morning,t,448,68,5,Short,,short
eON-PNPae8Y,How to Work with Recruiters on LinkedIn,8/15/2023 14:00,50297,2383,89,467,8/15/2023 8:00,2023,8,Q3,Tuesday,8,0.0474,0.0018,Morning,f,673,75,4,Short,,
1KEbiqRWOkA,7 Mistakes to Avoid During Your Data Analyst Job Search,3/5/2024 14:00,20128,753,50,714,3/5/2024 8:00,2024,3,Q1,Tuesday,8,0.0374,0.0025,Morning,f,470,43,2,Medium,,
_nf56aMPdZE,"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",2/6/2024 14:00,86877,1037,51,1485,2/6/2024 8:00,2024,2,Q1,Tuesday,8,0.0119,0.0006,Morning,f,498,175,3,Medium,,
XbDRYzYUmMo,Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,1/30/2024 18:30,13468,474,10,4496,1/30/2024 12:30,2024,1,Q1,Tuesday,12,0.0352,0.0007,Afternoon,f,505,27,1,Very Long,,
xtC3212t4hI,Is my background in Data Analytics?,1/15/2024 15:22,32442,2154,33,57,1/15/2024 9:22,2024,1,Q1,Monday,9,0.0664,0.001,Morning,t,520,63,5,Short,,short
J0PcCv9f4JQ,#DataAnalyst #DataCareers #DataAnalysis,10/5/2023 14:13,17704,1310,32,58,10/5/2023 8:13,2023,10,Q4,Thursday,8,0.074,0.0018,Morning,t,622,29,3,Short,,short
GZS7AgQ4Ksg,Hard Skills vs Soft Skills,1/8/2024 14:06,15709,1039,7,30,1/8/2024 8:06,2024,1,Q1,Monday,8,0.0661,0.0004,Morning,t,527,30,2,Short,,short
K0-8G3DgjA4,How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,12/26/2023 14:00,424869,16640,511,661,12/26/2023 8:00,2023,12,Q4,Tuesday,8,0.0392,0.0012,Morning,f,540,787,31,Medium,,
qPOmj22QX04,Practice SQL and Python right on your Phone!,12/13/2023 17:12,10348,642,20,28,12/13/2023 11:12,2023,12,Q4,Wednesday,11,0.062,0.0019,Morning,t,553,19,2,Short,,short
kifhSqep9UM,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,12/11/2023 20:04,12060,475,14,16464,12/11/2023 14:04,2023,12,Q4,Monday,14,0.0394,0.0012,Afternoon,f,555,22,1,Very Long,,
lEjmgE-hogg,#Excel is Frustrating,11/29/2023 19:00,12654,797,11,47,11/29/2023 13:00,2023,11,Q4,Wednesday,13,0.063,0.0009,Afternoon,t,567,23,2,Short,,short
qxj3dx0c7RM,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,11/28/2023 18:36,14283,432,11,4297,11/28/2023 12:36,2023,11,Q4,Tuesday,12,0.0302,0.0008,Afternoon,f,568,26,1,Very Long,,
TGAUZQJaQbQ,Why Data Analysts Hate Using Excel,11/14/2023 14:00,26249,972,139,444,11/14/2023 8:00,2023,11,Q4,Tuesday,8,0.037,0.0053,Morning,f,582,46,2,Short,,
1LG65qXfeQY,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,10/26/2023 18:30,26760,990,12,4709,10/26/2023 12:30,2023,10,Q4,Thursday,12,0.037,0.0004,Afternoon,f,601,45,2,Very Long,,
ukIUVW2E-n0,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,10/20/2023 18:18,5162,237,11,5107,10/20/2023 12:18,2023,10,Q4,Friday,12,0.0459,0.0021,Afternoon,f,607,9,1,Very Long,,
-DwpkgtJjGw,Data Analyst vs Business Analyst,10/13/2023 15:37,145660,7593,59,59,10/13/2023 9:37,2023,10,Q4,Friday,9,0.0521,0.0004,Morning,t,614,238,13,Short,,short
h4KTy2wxYcQ,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,10/10/2023 14:00,32329,853,212,1311,10/10/2023 8:00,2023,10,Q4,Tuesday,8,0.0264,0.0066,Morning,f,617,53,2,Medium,,
LaRXtE4OG9A,#DataAnalysis #DataAnalyst #DataRealities,10/9/2023 14:11,32452,1896,26,40,10/9/2023 8:11,2023,10,Q4,Monday,8,0.0584,0.0008,Morning,t,618,53,4,Short,,short
j_sHaBJEHMk,#Salary #DataAnalyst #SalaryNegotiation,9/28/2023 14:37,14573,979,7,55,9/28/2023 8:37,2023,9,Q3,Thursday,8,0.0672,0.0005,Morning,t,629,24,2,Short,,short
xuyKzpJ2SaY,AI and Analytics with SAS | SAS Explore Recap,9/26/2023 14:00,24454,512,31,179,9/26/2023 8:00,2023,9,Q3,Tuesday,8,0.0209,0.0013,Morning,f,631,39,1,Short,,
D0mEy6bJ2lA,My Very First Video,9/25/2023 15:13,9610,501,29,23,9/25/2023 9:13,2023,9,Q3,Monday,9,0.0521,0.003,Morning,t,632,16,1,Short,,short
GaoAc3-hScQ,#DataAnalyst #CareerPath,9/22/2023 13:45,75425,4608,33,52,9/22/2023 7:45,2023,9,Q3,Friday,7,0.0611,0.0004,Morning,t,635,119,8,Short,,short
bxIF9X9k2IE,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",9/19/2023 14:00,48162,1179,54,673,9/19/2023 8:00,2023,9,Q3,Tuesday,8,0.0245,0.0011,Morning,f,638,76,2,Medium,,
z_xWpa88R0A,#Excel #DataAnalyst #DataAnalysis,9/18/2023 13:38,17786,1298,21,56,9/18/2023 7:38,2023,9,Q3,Monday,7,0.073,0.0012,Morning,t,639,28,3,Short,,short
7PoZBuIUnEU,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",9/12/2023 14:00,47579,1646,101,294,9/12/2023 8:00,2023,9,Q3,Tuesday,8,0.0346,0.0021,Morning,f,645,74,3,Short,,
fq1-e-GbihE,#DataAnalysis #DataAnalyst,9/7/2023 13:57,20971,1486,23,53,9/7/2023 7:57,2023,9,Q3,Thursday,7,0.0709,0.0011,Morning,t,650,33,3,Short,,short
Xkb6h3YXl_c,Hard Skills vs Soft Skills in the Data World | Which is More Important?,9/5/2023 14:00,15940,706,30,582,9/5/2023 8:00,2023,9,Q3,Tuesday,8,0.0443,0.0019,Morning,f,652,25,2,Short,,
qDprq7Xbrqw,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",8/29/2023 6:00,45638,1961,113,323,8/29/2023 0:00,2023,8,Q3,Tuesday,0,0.043,0.0025,Early Morning,f,659,70,3,Short,,
UOHxb9ndpMM,#DataAnalyst #DataAnalysis #Promotion,8/28/2023 13:53,11030,633,10,51,8/28/2023 7:53,2023,8,Q3,Monday,7,0.0574,0.0009,Morning,t,660,17,1,Short,,short
_h_A_n8Z9QQ,#DataAnalyst #DataAnalysis,8/24/2023 13:53,21088,1403,54,60,8/24/2023 7:53,2023,8,Q3,Thursday,7,0.0665,0.0026,Morning,t,664,32,3,Short,,short
ugkyfUTc6AU,#DataAnalystSalary #DataAnalysis,8/17/2023 14:35,52344,3653,52,54,8/17/2023 8:35,2023,8,Q3,Thursday,8,0.0698,0.001,Morning,t,671,79,6,Short,,short
41nX2ZgGzcE,#dataanalysis #dataportfolio,8/14/2023 14:12,38466,3099,26,60,8/14/2023 8:12,2023,8,Q3,Monday,8,0.0806,0.0007,Morning,t,674,58,5,Short,,short
nufF-juSZxU,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,8/9/2023 15:11,8402,751,44,37,8/9/2023 9:11,2023,8,Q3,Wednesday,9,0.0894,0.0052,Morning,t,679,13,2,Short,,short
W_s4c1vLGXM,How much do Data Analysts make? #dataanalyst #dataanalystsalary,7/31/2023 15:07,22115,841,45,46,7/31/2023 9:07,2023,7,Q3,Monday,9,0.038,0.002,Morning,t,688,33,2,Short,,short
DWte9zjGl0I,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,7/28/2023 14:48,64483,3475,48,51,7/28/2023 8:48,2023,7,Q3,Friday,8,0.0539,0.0007,Morning,t,691,94,6,Short,,short
OISvlkfbntY,What are Hiring Managers Looking For? | Nail the Interview Process!,7/18/2023 14:00,44754,1584,76,822,7/18/2023 8:00,2023,7,Q3,Tuesday,8,0.0354,0.0017,Morning,f,701,64,3,Medium,,
oreAsJTNcsA,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,7/6/2023 19:20,239081,6636,120,4108,7/6/2023 13:20,2023,7,Q3,Thursday,13,0.0278,0.0005,Afternoon,f,713,336,10,Very Long,,
LO7hzmoHEIE,500k Livestream!!,6/28/2023 19:11,6285,383,24,6232,6/28/2023 13:11,2023,6,Q2,Wednesday,13,0.0609,0.0038,Afternoon,f,721,9,1,Very Long,,
PExdWWcxmro,Best Places to Find Datasets for Your Projects,6/13/2023 14:00,232747,5683,101,464,6/13/2023 8:00,2023,6,Q2,Tuesday,8,0.0244,0.0004,Morning,f,736,317,8,Short,,
5l2d_Rv0odE,What is Microsoft Fabric? | New Data Analytics Platform!,5/29/2023 14:00,338985,6214,168,443,5/29/2023 8:00,2023,5,Q2,Monday,8,0.0183,0.0005,Morning,f,751,452,9,Short,,
IMU1V-JugKo,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,5/16/2023 18:18,59047,1874,52,4248,5/16/2023 12:18,2023,5,Q2,Tuesday,12,0.0317,0.0009,Afternoon,f,764,78,3,Very Long,,
6jtS3Hz19kc,Google Bard Got An Upgrade! + Google's New AI Announcements!,5/12/2023 14:15,33389,799,79,521,5/12/2023 8:15,2023,5,Q2,Friday,8,0.0239,0.0024,Morning,f,768,44,2,Short,,
2izXQUoXyjA,How to Integrate ChatGPT in Jupyter Notebooks for Free!,4/25/2023 13:30,66430,1253,59,481,4/25/2023 7:30,2023,4,Q2,Tuesday,7,0.0189,0.0009,Morning,f,785,85,2,Short,,
PJINexERxOs,Google Business Intelligence Professional Certification Review,4/18/2023 13:30,47089,1277,74,424,4/18/2023 7:30,2023,4,Q2,Tuesday,7,0.0271,0.0016,Morning,f,792,60,2,Short,,
gTf2GLEhKgA,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,4/10/2023 13:30,161183,4550,403,695,4/10/2023 7:30,2023,4,Q2,Monday,7,0.0282,0.0025,Morning,f,800,202,6,Medium,,
6yNsc7JVPJE,Top 5 Biggest Mistakes Beginner Data Analysts Make,3/28/2023 13:30,39810,1797,82,534,3/28/2023 7:30,2023,3,Q1,Tuesday,7,0.0451,0.0021,Morning,f,813,49,3,Short,,
C75TROiiEa0,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2/14/2023 13:30,449580,8305,221,1867,2/14/2023 7:30,2023,2,Q1,Tuesday,7,0.0185,0.0005,Morning,f,855,526,10,Long,,
RBEgsEVO3T8,Reviewing Maven Analytics Free Portfolio Website,1/17/2023 13:30,29717,865,49,1356,1/17/2023 7:30,2023,1,Q1,Tuesday,7,0.0291,0.0016,Morning,f,883,34,1,Medium,,
gCG07l6Fu-U,5 Study Hacks for Beginner Data Analysts! | Live Webinar,1/16/2023 18:25,46670,1353,36,4650,1/16/2023 12:25,2023,1,Q1,Monday,12,0.029,0.0008,Afternoon,f,884,53,2,Very Long,,
0MKcCHrTo0c,"Reading, Writing, and Appending Files in Python | Python for Beginners",12/27/2022 14:00,12648,339,13,564,12/27/2022 8:00,2022,12,Q4,Tuesday,8,0.0268,0.001,Morning,f,904,14,1,Short,,
bVJfQAe-UP4,Why I Quit my 125k Analytics Job,12/20/2022 13:00,158274,8699,855,463,12/20/2022 7:00,2022,12,Q4,Tuesday,7,0.055,0.0054,Morning,f,911,174,10,Short,,
sXHIIW3Wt84,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,10/19/2022 12:56,5280,242,21,5064,10/19/2022 6:56,2022,10,Q4,Wednesday,6,0.0458,0.004,Morning,f,973,6,1,Very Long,,
DVs9u15htXU,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,10/13/2022 13:00,9703,333,20,1326,10/13/2022 7:00,2022,10,Q4,Thursday,7,0.0343,0.0021,Morning,f,979,10,1,Medium,,
zW3qJUeJLWc,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,10/11/2022 13:00,7690,336,31,1466,10/11/2022 7:00,2022,10,Q4,Tuesday,7,0.0437,0.004,Morning,f,981,8,1,Medium,,
m1AkWK_ODLM,When Best Friends Work Together (ft. Luke Barousse),10/4/2022 12:30,16380,695,84,335,10/4/2022 6:30,2022,10,Q4,Tuesday,6,0.0424,0.0051,Morning,f,988,17,1,Short,,
4A8LV6fObYA,Tableau Data Analyst Certification Review,2/22/2022 12:30,72120,1679,130,769,2/22/2022 6:30,2022,2,Q1,Tuesday,6,0.0233,0.0018,Morning,f,1212,60,2,Medium,,
50D__p6jdEI,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,8/24/2022 18:15,77625,2067,78,4249,8/24/2022 12:15,2022,8,Q3,Wednesday,12,0.0266,0.001,Afternoon,f,1029,76,3,Very Long,,
tRCGGlMI19M,Interviewing Ken Jee | The Face of Data Science on YouTube,8/23/2022 12:30,7491,258,15,1735,8/23/2022 6:30,2022,8,Q3,Tuesday,6,0.0344,0.002,Morning,f,1030,8,1,Medium,,
0QZBnhofU_U,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,8/16/2022 12:30,28988,682,131,1361,8/16/2022 6:30,2022,8,Q3,Tuesday,6,0.0235,0.0045,Morning,f,1037,28,1,Medium,,
PEc29sRZoTM,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",8/2/2022 12:30,20924,876,75,566,8/2/2022 6:30,2022,8,Q3,Tuesday,6,0.0419,0.0036,Morning,f,1051,20,1,Short,,
4nsdARJGzJ0,Machine Learning Specialization on Coursera | Review,7/5/2022 12:30,26549,820,63,895,7/5/2022 6:30,2022,7,Q3,Tuesday,6,0.0309,0.0024,Morning,f,1079,25,1,Medium,,
_QvQxm4dptI,Meta Marketing Analytics Professional Certificate on Coursera | Review,6/28/2022 12:30,40001,1011,99,1146,6/28/2022 6:30,2022,6,Q2,Tuesday,6,0.0253,0.0025,Morning,f,1086,37,1,Medium,,
HX2TabgkzHo,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,6/21/2022 12:30,45777,1639,132,612,6/21/2022 6:30,2022,6,Q2,Tuesday,6,0.0358,0.0029,Morning,f,1093,42,2,Medium,,
MPENhkuSo0Q,Job Title Alternatives for Data Analysts,2/15/2022 12:30,26585,1021,94,732,2/15/2022 6:30,2022,2,Q1,Tuesday,6,0.0384,0.0035,Morning,f,1219,22,1,Medium,,
2HfSFdPEFRg,How to use a Public API | Using a Public API with Python,5/31/2022 12:30,66113,1955,91,841,5/31/2022 6:30,2022,5,Q2,Tuesday,6,0.0296,0.0014,Morning,f,1114,60,2,Medium,,
Q7i6zxHVj2Q,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,5/17/2022 12:30,170219,3420,288,965,5/17/2022 6:30,2022,5,Q2,Tuesday,6,0.0201,0.0017,Morning,f,1128,151,4,Medium,,
ddn-2r1j_OU,Top 3 Tips to Stop Procrastinating to be Successful,5/10/2022 12:30,33578,1674,155,400,5/10/2022 6:30,2022,5,Q2,Tuesday,6,0.0499,0.0046,Morning,f,1135,30,2,Short,,
Pf-9pjJK1e0,SQL vs NoSQL | What's the Difference?,5/3/2022 12:30,66961,1947,69,355,5/3/2022 6:30,2022,5,Q2,Tuesday,6,0.0291,0.001,Morning,f,1142,59,2,Short,,
-bSkREem8dM,Database vs Data Warehouse vs Data Lake | What is the Difference?,4/26/2022 12:30,963947,24691,344,322,4/26/2022 6:30,2022,4,Q2,Tuesday,6,0.0256,0.0004,Morning,f,1149,839,22,Short,,
GsAXOr715AU,200k Livestream! | Shaving | Puppies | Giveaway,4/14/2022 15:29,3185,133,11,4892,4/14/2022 9:29,2022,4,Q2,Thursday,9,0.0418,0.0035,Morning,f,1161,3,1,Very Long,,
2JnlQ8jwWbE,Things I HATE About Being a Data Analyst,4/12/2022 12:30,36677,1515,200,634,4/12/2022 6:30,2022,4,Q2,Tuesday,6,0.0413,0.0055,Morning,f,1163,32,2,Medium,,
hNTNZ00cZig,Best Website to Practice Technical Interview Questions,4/5/2022 12:30,20381,688,56,1305,4/5/2022 6:30,2022,4,Q2,Tuesday,6,0.0338,0.0027,Morning,f,1170,18,1,Medium,,
yRWkSKRYCaI,Top 5 Non-Technical Skills for Data Analysts,3/15/2022 11:30,22344,824,72,990,3/15/2022 6:30,2022,3,Q1,Tuesday,6,0.0369,0.0032,Morning,f,1191,19,1,Medium,,
s3JmRxs53W4,150k Subscriber Livestream!!,1/10/2022 15:59,3501,159,7,5138,1/10/2022 9:59,2022,1,Q1,Monday,9,0.0454,0.002,Morning,f,1255,3,1,Very Long,,
yDG5KiiOZcQ,How To Become A Data Analyst In 2022,1/4/2022 12:30,498492,21891,629,780,1/4/2022 6:30,2022,1,Q1,Tuesday,6,0.0439,0.0013,Morning,f,1261,396,18,Medium,,
DKrSgSy6F1o,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,8/13/2021 16:38,4751,191,26,3728,8/13/2021 10:38,2021,8,Q3,Friday,10,0.0402,0.0055,Morning,f,1405,4,1,Very Long,,
aLp-6C-p-T0,Why You Need to Stop Taking Courses (From an Ex-Course Addict),7/13/2021 13:30,130992,5621,362,211,7/13/2021 7:30,2021,7,Q3,Tuesday,7,0.0429,0.0028,Morning,f,1436,92,4,Short,,
FnTunxd8tAM,Top 5 Major Red Flags in Job Descriptions,11/18/2021 12:30,18463,955,71,421,11/18/2021 6:30,2021,11,Q4,Thursday,6,0.0517,0.0038,Morning,f,1308,15,1,Short,,
-_z_aphWSEo,Truth About My Job (Song) - As a Data Analyst,11/8/2021 12:30,11923,926,108,198,11/8/2021 6:30,2021,11,Q4,Monday,6,0.0777,0.0091,Morning,f,1318,10,1,Short,,
pL0jEjeM5hI,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,10/26/2021 12:00,11456,343,34,1220,10/26/2021 6:00,2021,10,Q4,Tuesday,6,0.0299,0.003,Morning,f,1331,9,1,Medium,,
eg_5EAUXs5o,Choosing a Domain to Make More Money,10/19/2021 12:00,20821,990,77,521,10/19/2021 6:00,2021,10,Q4,Tuesday,6,0.0475,0.0037,Morning,f,1338,16,1,Short,,
SVv0WwPzaUg,Asking My Family What I Do For a Living,5/11/2021 13:00,3782,195,55,757,5/11/2021 7:00,2021,5,Q2,Tuesday,7,0.0516,0.0145,Morning,f,1499,3,1,Medium,,
465x3JmMJYU,How NOT to Become a Data Analyst (Funny?),9/7/2021 13:30,17524,709,114,291,9/7/2021 7:30,2021,9,Q3,Tuesday,7,0.0405,0.0065,Morning,f,1380,13,1,Short,,
Ns1ZpTxQnUE,100k Subscriber Play Button Unboxing,8/31/2021 13:30,2686,237,96,396,8/31/2021 7:30,2021,8,Q3,Tuesday,7,0.0882,0.0357,Morning,f,1387,2,1,Short,,
CUa30M_FPhk,Interviewing with PwC for a Senior Data Analyst Position,8/17/2021 13:30,100320,2648,157,1389,8/17/2021 7:30,2021,8,Q3,Tuesday,7,0.0264,0.0016,Morning,f,1401,72,2,Medium,,
_zxPx1PQCqI,I Am No Longer a Data Analyst | Turning Down PwC | New Job,8/11/2021 13:30,143362,4392,481,959,8/11/2021 7:30,2021,8,Q3,Wednesday,7,0.0306,0.0034,Morning,f,1407,102,4,Medium,,
UGF49YZZRNc,When To Start Applying To Your First Data Analyst Job,7/21/2021 13:30,92701,4816,245,251,7/21/2021 7:30,2021,7,Q3,Wednesday,7,0.052,0.0026,Morning,f,1428,65,4,Short,,
dMHWOhgzUhU,How To Get a Data Analyst Job (with No Experience),6/8/2021 13:30,496301,21134,611,457,6/8/2021 7:30,2021,6,Q2,Tuesday,7,0.0426,0.0012,Morning,f,1471,338,15,Short,,
9RRQtNnq3s0,Google vs IBM Data Analytics Certificates | Which is Better?,4/13/2021 13:00,377979,12587,635,358,4/13/2021 7:00,2021,4,Q2,Tuesday,7,0.0333,0.0017,Morning,f,1527,248,9,Short,,
qewHAdfzLOw,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,4/6/2021 13:00,28503,964,85,748,4/6/2021 7:00,2021,4,Q2,Tuesday,7,0.0338,0.003,Morning,f,1534,19,1,Medium,,
bHssBHfHWmU,Laptops for Data Analysts |  Specifications + Recommendations,3/30/2021 13:00,204254,4294,334,930,3/30/2021 7:00,2021,3,Q1,Tuesday,7,0.021,0.0016,Morning,f,1541,133,3,Medium,,
duMcYRtQITA,Google Data Analytics Certificate | Coming Out Soon!,3/4/2021 13:15,51820,2356,314,464,3/4/2021 7:15,2021,3,Q1,Thursday,7,0.0455,0.0061,Morning,f,1567,34,2,Short,,
NViKsiGP4TY,DataQuest Review | Is it Worth it?,2/23/2021 13:00,25767,432,46,1040,2/23/2021 7:00,2021,2,Q1,Tuesday,7,0.0168,0.0018,Morning,f,1576,17,1,Medium,,
1gdKC5O0Pwc,R vs Python | Which is Better for Data Analysis?,2/16/2021 13:00,240678,5258,420,711,2/16/2021 7:00,2021,2,Q1,Tuesday,7,0.0218,0.0017,Morning,f,1583,153,4,Medium,,
8o-O6pR6yAE,IBM Data Analyst Certificate Study Session,1/30/2021 16:33,5335,173,22,4910,1/30/2021 10:33,2021,1,Q1,Saturday,10,0.0324,0.0041,Morning,f,1600,4,1,Very Long,,
