video_id,title,published_at,views,likes,comments,duration_seconds,published_us_est,published_year,published_month,published_quarter,published_weekday,published_hour,like_ratio,comment_ratio,published_time_of_day,is_short,days_since_publish,views_per_day,likes_per_day,duration_bucket,playlist,top_category
Dk7he_yEs4U,Intermediate SQL Tutorial | Aliasing,6/4/2020 16:00,156916,4108,105,372,6/4/2020 10:00,2020,6,Q2,Thursday,10,0.0262,0.0007,Morning,f,1840,86,3,Short,intermediate sql tutorials,sql tutorials
GQj6_6V_jVA,Advanced SQL Tutorial | String Functions + Use Cases,2/4/2021 13:00,191486,4639,156,829,2/4/2021 7:00,2021,2,Q1,Thursday,7,0.0242,0.0008,Morning,f,1595,121,3,Medium,advanced sql tutorials,sql tutorials
m1KcNV-Zhmc,Advanced SQL Tutorial | Subqueries,4/20/2021 13:00,439469,9287,245,517,4/20/2021 7:00,2021,4,Q2,Tuesday,7,0.0211,0.0006,Morning,f,1520,290,7,Short,advanced sql tutorials,sql tutorials
lYKkro6rKm0,Intermediate SQL Tutorial | Unions | Union Operator,3/26/2020 17:51,278062,5279,115,325,3/26/2020 12:51,2020,3,Q1,Thursday,12,0.019,0.0004,Afternoon,f,1910,146,3,Short,intermediate sql tutorials,sql tutorials
NrBJmtD0kEw,Advanced SQL Tutorial | Stored Procedures + Use Cases,3/16/2021 12:00,502643,8522,204,375,3/16/2021 7:00,2021,3,Q1,Tuesday,7,0.017,0.0004,Morning,f,1555,324,6,Short,advanced sql tutorials,sql tutorials
RF0LE3hYFrI,Advanced SQL Tutorial | Temp Tables,2/2/2021 13:00,277283,5940,148,619,2/2/2021 7:00,2021,2,Q1,Tuesday,7,0.0214,0.0005,Morning,f,1597,174,4,Medium,advanced sql tutorials,sql tutorials
K1WeoKxLZ5o,Advanced SQL Tutorial | CTE (Common Table Expression),12/8/2020 13:00,411302,6380,197,224,12/8/2020 7:00,2020,12,Q4,Tuesday,7,0.0155,0.0005,Morning,f,1653,249,4,Short,advanced sql tutorials,sql tutorials
9URM1_2S0ho,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,3/19/2020 16:40,574327,9471,476,953,3/19/2020 11:40,2020,3,Q1,Thursday,11,0.0165,0.0008,Morning,f,1917,300,5,Medium,intermediate sql tutorials,sql tutorials
bhnrIforc7s,Intermediate SQL Tutorial | Updating/Deleting Data,4/16/2020 14:58,160365,3540,142,277,4/16/2020 8:58,2020,4,Q2,Thursday,8,0.0221,0.0009,Morning,f,1889,85,2,Short,intermediate sql tutorials,sql tutorials
tYBOMw7Ob8E,Intermediate SQL Tutorial | Having Clause,4/9/2020 18:01,195326,4949,92,211,4/9/2020 12:01,2020,4,Q2,Thursday,12,0.0253,0.0005,Afternoon,f,1896,104,3,Short,intermediate sql tutorials,sql tutorials
Twusw__OzA8,Intermediate SQL Tutorial | Case Statement | Use Cases,4/2/2020 17:16,319975,7615,439,446,4/2/2020 11:16,2020,4,Q2,Thursday,11,0.0238,0.0014,Morning,f,1903,169,5,Short,intermediate sql tutorials,sql tutorials
LXwfzIRD-Ds,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,3/3/2020 16:06,342739,8355,235,489,3/3/2020 10:06,2020,3,Q1,Tuesday,10,0.0244,0.0007,Morning,f,1933,178,5,Short,sql basics for data analysts,sql tutorials
A9TOuDZTPDU,SQL Basics Tutorial For Beginners | Where Statement | 3/4,3/2/2020 17:01,361117,6220,156,478,3/2/2020 11:01,2020,3,Q1,Monday,11,0.0172,0.0004,Morning,f,1934,187,4,Short,sql basics for data analysts,sql tutorials
PyYgERKq25I,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,3/1/2020 18:02,527171,7526,307,374,3/1/2020 12:02,2020,3,Q1,Sunday,12,0.0143,0.0006,Afternoon,f,1935,273,4,Short,sql basics for data analysts,sql tutorials
RSlqWnP-Dy8,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,3/1/2020 1:50,1482007,18774,2057,577,2/29/2020 19:50,2020,2,Q1,Saturday,19,0.0127,0.0014,Evening,f,1935,766,10,Short,sql basics for data analysts,sql tutorials
zOR0-nygfDE,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,12/7/2021 12:30,354096,6732,516,2658,12/7/2021 6:30,2021,12,Q4,Tuesday,6,0.019,0.0015,Morning,f,1289,275,6,Long,tableau tutorials for beginners,tableau tutorials
A4SVUF-fTwc,How to use Joins in Tableau | Tableau Tutorials for Beginners,11/23/2021 12:30,179661,4539,75,869,11/23/2021 6:30,2021,11,Q4,Tuesday,6,0.0253,0.0004,Morning,f,1303,138,4,Medium,tableau tutorials for beginners,tableau tutorials
ebjDwX8sUMk,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,10/5/2021 13:30,221331,4788,221,845,10/5/2021 7:30,2021,10,Q4,Tuesday,7,0.0216,0.001,Morning,f,1352,164,4,Medium,tableau tutorials for beginners,tableau tutorials
f6qxxtWkaUg,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,9/28/2021 13:30,286559,5866,104,385,9/28/2021 7:30,2021,9,Q3,Tuesday,7,0.0205,0.0004,Morning,f,1359,211,5,Short,tableau tutorials for beginners,tableau tutorials
6xv1KvCMF1Q,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,9/21/2021 13:30,917531,20096,453,1024,9/21/2021 7:30,2021,9,Q3,Tuesday,7,0.0219,0.0005,Morning,f,1366,672,15,Medium,tableau tutorials for beginners,tableau tutorials
