title,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",Tuesday,Morning,386,37504,812,61.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,Thursday,Afternoon,5621,8997,284,15.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
#Salary #DataAnalyst #SalaryNegotiation,Thursday,Morning,55,14179,969,23.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
AI and Analytics with SAS | SAS Explore Recap,Tuesday,Morning,179,23413,502,38.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
My Very First Video,Monday,Morning,23,9401,500,15.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
#DataAnalyst #CareerPath,Friday,Morning,52,65207,4146,103.0,7.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",Tuesday,Morning,673,47773,1172,75.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
#Excel #DataAnalyst #DataAnalysis,Monday,Morning,56,16683,1250,27.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",Tuesday,Morning,294,47288,1647,74.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Hard Skills vs Soft Skills in the Data World | Which is More Important?,Tuesday,Morning,582,15737,702,25.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",Tuesday,Early Morning,323,45130,1947,69.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
#DataAnalyst #DataAnalysis #Promotion,Monday,Morning,51,10902,633,17.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
#DataAnalyst #DataAnalysis,Thursday,Morning,60,20815,1396,32.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Regular Expression Use Cases in Python,Tuesday,Morning,767,11229,265,17.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'python', 'python regular expression', 'regular expression', 'regular expression use cases']",0
Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,Friday,Morning,4365,8507,321,13.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
#DataAnalystSalary #DataAnalysis,Thursday,Morning,54,49211,3500,74.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Work with Recruiters on LinkedIn,Tuesday,Morning,467,48814,2331,73.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
#dataanalysis #dataportfolio,Monday,Morning,60,36115,2982,54.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,Wednesday,Morning,37,8164,747,13.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'data analyst bootcamp']",0
Regular Expression Character Classes in Python,Tuesday,Morning,638,13944,238,21.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'regular expression character classes', 'regular expression', 'python regular expression']",0
#Recruiters #dataanalysis #data,Thursday,Morning,58,16966,1154,25.0,2.0,[],0
Regular Expression Metacharacters in Python,Tuesday,Morning,1203,12513,308,19.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'regular expression', 'python regular expression', 'regular expression metacharacters']",0
How much do Data Analysts make? #dataanalyst #dataanalystsalary,Monday,Morning,46,21938,839,32.0,2.0,[],0
Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,Friday,Morning,51,60280,3310,88.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Regular Expression Methods in Python,Tuesday,Morning,517,21579,444,32.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'python regular expression', 'regular expression', 'regular expression methods']",0
What are Hiring Managers Looking For? | Nail the Interview Process!,Tuesday,Morning,822,42482,1523,61.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Scraping Data from a Real Website | Web Scraping in Python,Tuesday,Morning,1523,657888,11673,930.0,17.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'python', 'python web scraping', 'how to web scrape', 'web scraping in python']",0
SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,Thursday,Afternoon,4108,236180,6614,332.0,10.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Find and Find_All | Web Scraping in Python,Tuesday,Morning,730,89509,2273,126.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'python', 'python web scraping', 'web scraping with python', 'find and find_all']",0
500k Livestream!!,Wednesday,Afternoon,6232,6281,383,9.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
BeautifulSoup + Requests | Web Scraping in Python,Tuesday,Morning,418,214905,3758,298.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'python', 'python web scraping', 'beautifulsoup', 'requests', 'beautifulsoup and requests']",0
Inspecting Web Pages with HTML | Web Scraping in Python,Tuesday,Morning,355,85960,2091,118.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'python', 'python web scraping', 'web scraping in python']",0
Best Places to Find Datasets for Your Projects,Tuesday,Morning,464,220381,5454,300.0,8.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Exploratory Data Analysis in Pandas | Python Pandas Tutorials,Tuesday,Morning,1933,191321,4263,258.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'pandas', 'pandas python', 'python pandas', 'pandas tutorial', 'eda in python', 'eda in pandas', 'pandas eda', 'eda pandas', 'exploratory data analysis', 'exploratory data analysis in pandas']",0
Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,Tuesday,Afternoon,5548,10267,363,14.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
What is Microsoft Fabric? | New Data Analytics Platform!,Monday,Morning,443,318639,5937,425.0,8.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Data Cleaning in Pandas | Python Pandas Tutorials,Tuesday,Morning,2317,428877,10107,567.0,14.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'pandas', 'pandas tutorials', 'python pandas', 'pandas python', 'data cleaning', 'data cleaning in pandas', 'data cleaning in python', 'how to clean data', 'pandas data cleaning']",0
The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,Tuesday,Afternoon,4248,59006,1881,78.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
State of AI in Analytics | Will AI be the End of Data Analysts?,Monday,Morning,4352,46565,1379,61.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'ai analytics', 'analytics in ai']",0
Google Bard Got An Upgrade! + Google's New AI Announcements!,Friday,Morning,521,33383,799,44.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'google bard', 'bard', 'bard ai', 'bard google', 'bard chatbot', 'google chatbot', 'google i/o conference', 'google io', 'google i/o', 'google conference', 'google developer conference', 'chatgpt vs bard', 'bard vs chatgpt', 'chatgpt', 'chatgpt competitors']",0
Creating Visualizations using Pandas Library | Python Pandas Tutorials,Tuesday,Morning,1010,94744,2073,123.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'visualizations in pandas', 'pandas', 'pandas tutorials', 'charts in pandas', 'pandas visualization']",0
5 Study Hacks for Beginner Data Analysts! | Live Webinar,Monday,Afternoon,4650,46626,1356,53.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Merging DataFrames in Pandas | Python Pandas Tutorials,Tuesday,Morning,1329,150277,3228,194.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'pandas merge', 'merge pandas', 'pandas', 'pandas tutorial', 'join pandas', 'join in pandas', 'concatenate in pandas', 'concatenate pandas']",0
Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,Thursday,Afternoon,5944,10324,338,14.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
How to Integrate ChatGPT in Jupyter Notebooks for Free!,Tuesday,Morning,481,65530,1251,84.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'chatgpt', 'jupyter notebooks', 'add chatgpt', 'chatgpt in jupyter notebooks']",0
7 Ways to Use ChatGPT for Analytics | Webinar,Tuesday,Afternoon,4135,39367,1078,50.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Google Business Intelligence Professional Certification Review,Tuesday,Morning,424,46593,1260,59.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'google certifications', 'google business certification', 'google business intelligence certification on course', 'coursera google certification']",0
Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,Monday,Morning,695,159871,4523,200.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'google certification', 'google data analyst', 'google data analyst certification', 'google advanced data analyst', 'google advanced data analytics', 'google advanced data analytics certification', 'google advanced data analytics certification review']",0
Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,Tuesday,Morning,665,120798,2912,150.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'pandas', 'pandas group by', 'group by in pandas', 'aggregating in pandas', 'agg pandas', 'pandas agg', 'pangas group_by', 'groupby pandas', 'pandas groupby', 'pandas tutorial', 'python pandas tutorial']",0
Top 5 Biggest Mistakes Beginner Data Analysts Make,Tuesday,Morning,534,39752,1797,49.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Indexes in Pandas | Python Pandas Tutorials,Tuesday,Morning,682,76289,1715,94.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'pandas', 'pandas tutorial', 'coding', 'python', 'python pandas', 'index in pandas', 'pandas index', 'index pandas', 'how to use indexes in pandas']",0
Create the Perfect Data Analyst Resume | Free Templates!,Tuesday,Morning,1057,234026,6351,283.0,8.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'data analyst resume', 'creating a resume', 'resume', 'resume for data analysis', 'resume for data analysts', 'how to create a resume', 'how to create a data analyst resume', 'resume for analysts']",0
Filtering Columns and Rows in Pandas | Python Pandas Tutorials,Tuesday,Morning,709,123334,2546,148.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'pandas', 'pandas python', 'coding', 'filtering pandas', 'ordering pandas', 'how to filter in pandas', 'how to order in pandas', 'pandas order by', 'pandas filter', 'pandas loc', 'pandas iloc']",0
Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,Thursday,Morning,5296,11211,392,14.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
Reading in Files in Pandas | Python Pandas Tutorials,Tuesday,Morning,1157,250808,4064,299.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'pandas', 'pandas python', 'python pandas', 'pandas tutorials', 'pandas tutorial', 'reading in files', 'python read in files', 'pandas read in file']",0
Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,Tuesday,Morning,1011,81798,1784,97.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'python project', 'python project for beginners']",0
ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,Tuesday,Morning,1867,448876,8310,526.0,10.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'chat gpt', 'chatgpt', 'chatgpt for data analysis', 'data analyst using chatgpt', 'chatgpt 3.5', 'chatgpt for data analysts', 'data analyst chatgpt', 'chatgpt data analyst']",0
FREE Data Analyst Bootcamp!!,Tuesday,Morning,412,2036243,48329,2363.0,57.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'data analyst bootcamp', 'data analytics bootcamp', 'become a data nalyst', 'free bootcamp', 'free data bootcamp', 'free data analyst bootcamp']",0
How to Become a Data Analyst in 2023 (Completely FREE!),Tuesday,Morning,839,1361567,44463,1567.0,52.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'data analyst 2023', 'how to become a data analyst', 'data analyst guide', 'guide to become a data analyst']",0
Live Portfolio Review with Alex the Analyst!  | Live Webinar,Wednesday,Afternoon,4217,17804,632,21.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
DIY Data Analyst Curriculum using Udemy (Under $75),Tuesday,Morning,769,41491,1478,48.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'diy data analyst curriculum using udemy', 'udemy courses', 'best udemy courses', 'data analyst udemy', 'build your own courses on udemy', 'udemy']",0
Reviewing Maven Analytics Free Portfolio Website,Tuesday,Morning,1356,28666,835,33.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'maven analytics', 'maven analytics data analyst', 'maven analytics showcase', 'maven analytics portfolio', 'maven analytics portfolio website', 'portfolio on maven analytics']",0
DIY Data Analyst Curriculum using Coursera in 2023,Tuesday,Morning,752,65430,3025,74.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'coursera', 'data analyst courses', 'best coursera courses', 'diy data analyst curriculum coursera', 'cousera data analyst']",0
Building a BMI Calculator with Python | Python Projects for Beginners,Tuesday,Morning,863,101569,2060,114.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'bmi calculator', 'python calculator', 'python bmi calculator', 'how to create a bmi calculator in python', 'how to create a bmi calculator']",0
"Reading, Writing, and Appending Files in Python | Python for Beginners",Tuesday,Morning,564,12025,324,14.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'reading files in python', 'working with files in python', 'appending files in python', 'writing to files in python', 'python files']",0
Why I Quit my 125k Analytics Job,Tuesday,Morning,463,158192,8711,174.0,10.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'quitting my job', 'why i quit my job', 'why i quit', 'quitting my analytics job', 'why i quit my analytics job', 'why i left', 'why i left my job', 'why i left my analytics job']",0
Converting Data Types in Python | Python for Beginners,Tuesday,Morning,396,60117,1571,66.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'data types in python', 'converting data types in python', 'converting data types', 'python converting data types']",0
Functions in Python | Python for Beginners,Tuesday,Morning,764,97217,2119,106.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'functions', 'functions in python', 'how to use functions in python', 'python functions']",0
While Loops in Python | Python for Beginners,Tuesday,Morning,340,94418,2264,102.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'while loops in python', 'python while loops', 'while loops', 'while loop in python', 'how to use a while loop', 'how to use a while loop in python']",0
For Loops in Python | Python for Beginners,Tuesday,Morning,557,86747,1912,93.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'for loops in python', 'for loops', 'how to use for loops', 'how to use for loops in python', 'python for loops', 'for loop', 'for loop in python']",0
Data Analyst Q/A Livestream | November Livestream,Tuesday,Evening,3737,6311,199,7.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
If Else Statements in Python | Python for Beginners,Tuesday,Morning,400,72828,1764,77.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'if statements in python', 'if else statements in python', 'if/else statements in python', 'python if else statements', 'if else statements', 'if/else statements', 'if/else python', 'python if/else']",0
"Comparison, Logical, and Membership Operators in Python | Python for Beginners",Tuesday,Morning,435,73162,1807,77.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'operators in python', 'logical operators in python', 'python operators', 'membership operators in python', 'comparison operators in python', 'python logical operators', 'python membership operators', 'python comparison operators', 'python for beginners']",0
Data Types in Python | Python for Beginners,Tuesday,Morning,1318,170849,3768,178.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'data types', 'data types in python', 'python data types', 'types of data in python']",0
Data Analyst Q/A Livestream | October Livestream,Sunday,Evening,4498,5745,181,6.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
Variables in Python | Python for Beginners,Tuesday,Morning,797,159602,3315,166.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'python variables', 'variables in python', 'how to use variables', 'how to use variables in python', 'variables']",0
300k Livestream! | Giveaways for People in Chat | Bring Your Wine,Wednesday,Morning,5064,5278,243,6.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Installing Jupyter Notebooks/Anaconda | Python for Beginners,Tuesday,Morning,603,519854,7410,534.0,8.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'python for beginners', 'how to install jupyter notebooks', 'how to install anaconda', 'how to use python', 'python']",0
Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,Thursday,Morning,1326,9668,333,10.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'tina huang', 'tina huang youtube', 'tina huang interview', 'interviewing tina huang']",0
Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,Tuesday,Morning,1466,7645,335,8.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'luke barrouse', 'luke barrouse data', 'luke barousse data analyst', 'luke barrouse interview', 'interviewing luke barousse']",0
When Best Friends Work Together (ft. Luke Barousse),Tuesday,Morning,335,16223,693,17.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'working with friends', 'when best friends work together']",0
Data Analyst Live Stream | Riding out Hurricane Ian,Friday,Evening,5588,6790,212,7.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Full Power BI Guided Project | Microsoft Power BI for Beginners,Tuesday,Morning,2557,552089,10166,555.0,11.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'full project in power bi', 'power bi project', 'full power bi project', 'real project in power bi', 'power bi real project', 'power bi', 'power bi tutorial', 'how to use power bi', 'power bi guided project', 'guided project in power bi']",0
Popular Visualizations in Power BI | Microsoft Power BI for Beginners,Tuesday,Morning,854,168616,3511,169.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'power bi', 'power bi tutorial', 'how to use power bi', 'power bi visualization', 'power bi visualizations', 'different visualizations in power bi', 'popular visualizations in power bi']",0
"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",Tuesday,Morning,501,60332,2177,60.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'portfolio projects', 'portfolio projects for data analysts', 'data analyst portfolio projects', 'data science portfolio project', 'coursera guided projects', 'coursera portfolio projects']",0
How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,Tuesday,Morning,571,141272,2948,140.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'bins and lists', 'power bi bins', 'power bi lists', 'how to use bins', 'how to use bins in power bi', 'how to use lists in power bi', 'power bi bins and lists']",0
How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,Tuesday,Morning,594,233171,3484,228.0,4.0,"['data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'conditional formatting', 'conditional formatting in power bi', 'how to use conditional formatting in power bi', 'power bi conditional formatting', 'power bi tutorials', 'power bi tutorials for beginners']",0
Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,Wednesday,Afternoon,4249,77572,2069,76.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Interviewing Ken Jee | The Face of Data Science on YouTube,Tuesday,Morning,1735,7408,257,8.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'ken jee', 'ken jee interview', 'ken jee data science', 'ken jee youtube', 'ken jee data', 'interviewing ken jee']",0
CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,Tuesday,Morning,1361,28799,676,28.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'careerfoundry', 'careerfoundry review', 'careerfoundry analytics', 'careerfoundry data analytics review', 'careerfoundry data analyst bootcamp', 'careerfoundry bootcamp review']",0
How to use Drill Down in Power BI | Microsoft Power BI for Beginners,Tuesday,Morning,362,275967,4553,265.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'drill down', 'drill down in power bi', 'how to drill down', 'how to use drill down', 'how to use drill down in power bi', 'power bi drill down', 'power bi drill down to another visual']",0
"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",Tuesday,Morning,566,20876,876,20.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'courses for business analysts', 'courses for financial analysts', 'courses for sports analysts', 'courses for data analysts', 'courses for analysts', 'sports analyst', 'marketing analyst', 'marketing analyst courses', 'sports analyst courses', 'financial anlyst', 'financial analyst courses', 'business analyst', 'business analyst courses']",0
How to use DAX in Power BI | Microsoft Power BI for Beginners,Tuesday,Morning,944,297874,5522,282.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'power bi tutorial', 'tutorial for power bi', 'power bi', 'power bi tutorial for beginners', 'beginner power bi', 'power bi beginner', 'power bi beginner tutorial', 'what is power bi', 'power bi beginner to expert', 'using dax in power bi', 'power bi dax', 'dax in power bi', 'how to use dax']",0
Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,Tuesday,Morning,2954,22051,613,21.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'tech layoffs', 'hiring freezes', 'tech', 'great resignation', 'the great resignation']",0
How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,Tuesday,Morning,516,377542,6174,353.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'power bi tutorial', 'tutorial for power bi', 'power bi', 'power bi tutorial for beginners', 'beginner power bi', 'power bi beginner', 'power bi beginner tutorial', 'what is power bi', 'power bi beginner to expert', 'power bi relationships', 'power bi modeling', 'modeling data in power bi', 'creating relationships in power bi']",0
Machine Learning Specialization on Coursera | Review,Tuesday,Morning,895,26360,814,25.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'machine learning', 'machine learning python', 'machine learning specialization', 'machine learning coursera', 'machine learning course', 'best machine learning course']",0
Meta Marketing Analytics Professional Certificate on Coursera | Review,Tuesday,Morning,1146,39515,1008,37.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'meta', 'meta marketing', 'meta marketing analytics', 'meta marketing course', 'meta marketing analytics professional certificate', 'certification by meta', 'meta certification', 'meta marketing certification', 'meta marketing analytics review', 'meta marketing analytics certification']",0
Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,Tuesday,Morning,612,45760,1640,42.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'foobar', 'foobar challenge', 'google hiring platform', 'secret google hiring platform', 'secret hiring platform google', 'google hiring', 'how google hires employees', 'how google hires data']",0
How to use Power Query in Power BI | Microsoft Power BI for Beginners,Tuesday,Morning,787,499344,7482,454.0,7.0,"['data analyst career', 'data analytics', 'alex the analyst', 'power bi tutorial', 'tutorial for power bi', 'power bi', 'power bi tutorial for beginners', 'beginner power bi', 'power bi beginner', 'power bi beginner tutorial', 'what is power bi', 'power bi beginner to expert', 'power query', 'power query editor', 'power query editor in power bi', 'power query editor in power bi deskptop', 'how to use power query', 'how to use power query editor in power bi']",0
Automating Crypto Website API Pull Using Python | Data Analyst Project,Tuesday,Morning,3074,84030,1373,76.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'crypto project', 'pulling data from an api', 'how to use an api', 'using api to pull data', 'crypto', 'data analyst project', 'data analyst automation', 'python automation', 'automating data pull in python', 'python automation job', 'python automation crypto']",0
How to use a Public API | Using a Public API with Python,Tuesday,Morning,841,61967,1850,56.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'how to use an api', 'using an api', 'public api', 'how to use a public api']",0
How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,Tuesday,Morning,770,751908,12141,671.0,11.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'power bi tutorial', 'tutorial for power bi', 'power bi', 'power bi tutorial for beginners', 'beginner power bi', 'power bi beginner', 'power bi beginner tutorial', 'what is power bi', 'power bi beginner to expert']",0
MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,Tuesday,Morning,965,162846,3311,145.0,3.0,"['data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'mysql', 'postresql', 'sql server', 'microsoft sql server', 'difference between mysql and postgresql', 'mysql vs postgresql', 'mysql vs postgresql vs sql server', 'mysql vs postgresql vs microsoft sql server', 'different types of sql', 'best type of sql', 'is mysql good', 'is postgresql good', 'best sql type', 'best version of sql', 'sql types']",0
Top 3 Tips to Stop Procrastinating to be Successful,Tuesday,Morning,400,33544,1673,30.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'how to stop procrastinating', 'data analyst procrastination', 'stop procrastinating', 'how to be successful', 'tips to stop procrastinating']",0
SQL vs NoSQL | What's the Difference?,Tuesday,Morning,355,65865,1929,58.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'sql vs nosql', 'nosql', 'nosql database', 'what is nosql', 'what is sql']",0
