video_id;title;published_at;views;likes;comments;duration_seconds;tags_array;published_us_est;published_year;published_month;published_quarter;published_weekday;published_hour;like_ratio;comment_ratio;publish_time_of_day
nufF-juSZxU;LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF;2023-08-09 13:11:45;8164;747;44;37;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","Data Analyst Bootcamp"};2023-08-09 09:11:45;2023;8;Q3;Wednesday;9;0.0915;0.0054;Morning
9NB5u17qiDY;Regular Expression Character Classes in Python;2023-08-08 12:00:05;13944;238;13;638;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","regular expression character classes","regular expression","python regular expression"};2023-08-08 08:00:05;2023;8;Q3;Tuesday;8;0.0171;0.0009;Morning
j6A28L6Tmxw;Regular Expression Metacharacters in Python;2023-08-01 12:00:26;12513;308;9;1203;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","regular expression","python regular expression","regular expression metacharacters"};2023-08-01 08:00:26;2023;8;Q3;Tuesday;8;0.0246;0.0007;Morning
PExdWWcxmro;Best Places to Find Datasets for Your Projects;2023-06-13 12:00:16;220381;5454;98;464;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-06-13 08:00:16;2023;6;Q2;Tuesday;8;0.0247;0.0004;Morning
W_s4c1vLGXM;How much do Data Analysts make? #dataanalyst #dataanalystsalary;2023-07-31 13:07:06;21938;839;45;46;{};2023-07-31 09:07:06;2023;7;Q3;Monday;9;0.0382;0.0021;Morning
DWte9zjGl0I;Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL;2023-07-28 12:48:19;60280;3310;47;51;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-07-28 08:48:19;2023;7;Q3;Friday;8;0.0549;0.0008;Morning
EzeeypMKx7o;Regular Expression Methods in Python;2023-07-25 12:00:19;21579;444;14;517;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","Python regular expression","regular expression","regular expression methods"};2023-07-25 08:00:19;2023;7;Q3;Tuesday;8;0.0206;0.0006;Morning
OISvlkfbntY;What are Hiring Managers Looking For? | Nail the Interview Process!;2023-07-18 12:00:17;42482;1523;73;822;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-07-18 08:00:17;2023;7;Q3;Tuesday;8;0.0359;0.0017;Morning
8dTpNajxaH0;Scraping Data from a Real Website | Web Scraping in Python;2023-07-11 12:00:07;657888;11673;466;1523;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",python,"python web scraping","how to web scrape","web scraping in python"};2023-07-11 08:00:07;2023;7;Q3;Tuesday;8;0.0177;0.0007;Morning
oreAsJTNcsA;SQL Beginner to Advanced in One Hour | CareerFoundry Webinar;2023-07-06 17:20:05;236180;6614;120;4108;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-07-06 13:20:05;2023;7;Q3;Thursday;13;0.028;0.0005;Afternoon
xjA1HjvmoMY;Find and Find_All | Web Scraping in Python;2023-07-04 12:00:49;89509;2273;42;730;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",python,"python web scraping","web scraping with python","find and find_all"};2023-07-04 08:00:49;2023;7;Q3;Tuesday;8;0.0254;0.0005;Morning
