title,published_weekday,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,Tuesday,Tuesday,Morning,661,412892,16290,765.0,31.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'become a data analyst', 'how to become a data analyst', 'what is a data analyst']",0
Limit + Aliasing in MySQL | MySQL Beginner Series,Tuesday,Tuesday,Morning,237,134840,2593,247.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Practice SQL and Python right on your Phone!,Wednesday,Wednesday,Morning,28,9884,638,18.0,2.0,[],0
Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,Tuesday,Tuesday,Morning,987,25009,1024,46.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,Monday,Monday,Afternoon,16464,12042,475,22.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Having vs Where in MySQL | Beginner MySQL Series,Tuesday,Tuesday,Morning,226,158939,2834,284.0,6.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
#Excel is Frustrating,Wednesday,Wednesday,Afternoon,47,12314,791,22.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,Tuesday,Tuesday,Afternoon,4297,14274,432,26.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Group By + Order By in MySQL | Beginner MySQL Series,Tuesday,Tuesday,Morning,646,212914,3688,375.0,7.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Where Clause in MySQL | Beginner MySQL Series,Tuesday,Tuesday,Morning,747,231250,3683,403.0,7.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Why Data Analysts Hate Using Excel,Tuesday,Tuesday,Morning,444,26089,971,45.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Select Statement in MySQL | Beginner MySQL Series,Tuesday,Tuesday,Morning,660,361955,4536,615.0,8.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Installing MySQL and Creating Databases | MySQL for Beginners,Tuesday,Tuesday,Morning,724,1052820,13482,1767.0,23.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Python Beginner to Advanced in One Hour | CareerFoundry Webinar,Thursday,Thursday,Afternoon,4709,26603,990,45.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Start a Data YouTube Channel,Tuesday,Tuesday,Morning,657,9770,432,17.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,Friday,Friday,Afternoon,5107,5159,237,9.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,Tuesday,Tuesday,Morning,4443,19512,725,32.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,Tuesday,Tuesday,Morning,1311,32284,854,53.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
#DataAnalysis #DataAnalyst #DataRealities,Monday,Monday,Morning,40,29797,1781,49.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
#DataAnalyst #DataCareers #DataAnalysis,Thursday,Thursday,Morning,58,17332,1301,28.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",Tuesday,Tuesday,Morning,386,37504,812,61.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,Thursday,Thursday,Afternoon,5621,8997,284,15.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
#Salary #DataAnalyst #SalaryNegotiation,Thursday,Thursday,Morning,55,14179,969,23.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
AI and Analytics with SAS | SAS Explore Recap,Tuesday,Tuesday,Morning,179,23413,502,38.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
My Very First Video,Monday,Monday,Morning,23,9401,500,15.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
#DataAnalyst #CareerPath,Friday,Friday,Morning,52,65207,4146,103.0,7.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",Tuesday,Tuesday,Morning,673,47773,1172,75.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
#Excel #DataAnalyst #DataAnalysis,Monday,Monday,Morning,56,16683,1250,27.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",Tuesday,Tuesday,Morning,294,47288,1647,74.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Hard Skills vs Soft Skills in the Data World | Which is More Important?,Tuesday,Tuesday,Morning,582,15737,702,25.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",Tuesday,Tuesday,Early Morning,323,45130,1947,69.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
#DataAnalyst #DataAnalysis #Promotion,Monday,Monday,Morning,51,10902,633,17.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
#DataAnalyst #DataAnalysis,Thursday,Thursday,Morning,60,20815,1396,32.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Regular Expression Use Cases in Python,Tuesday,Tuesday,Morning,767,11229,265,17.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python', 'python regular expression', 'regular expression', 'regular expression use cases']",0
Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,Friday,Friday,Morning,4365,8507,321,13.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
#DataAnalystSalary #DataAnalysis,Thursday,Thursday,Morning,54,49211,3500,74.0,6.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Work with Recruiters on LinkedIn,Tuesday,Tuesday,Morning,467,48814,2331,73.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
#dataanalysis #dataportfolio,Monday,Monday,Morning,60,36115,2982,54.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,Wednesday,Wednesday,Morning,37,8164,747,13.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Data Analyst Bootcamp']",0
Regular Expression Character Classes in Python,Tuesday,Tuesday,Morning,638,13944,238,21.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'regular expression character classes', 'regular expression', 'python regular expression']",0
#Recruiters #dataanalysis #data,Thursday,Thursday,Morning,58,16966,1154,25.0,2.0,[],0
Regular Expression Metacharacters in Python,Tuesday,Tuesday,Morning,1203,12513,308,19.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'regular expression', 'python regular expression', 'regular expression metacharacters']",0
How much do Data Analysts make? #dataanalyst #dataanalystsalary,Monday,Monday,Morning,46,21938,839,32.0,2.0,[],0
Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,Friday,Friday,Morning,51,60280,3310,88.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Regular Expression Methods in Python,Tuesday,Tuesday,Morning,517,21579,444,32.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Python regular expression', 'regular expression', 'regular expression methods']",0
What are Hiring Managers Looking For? | Nail the Interview Process!,Tuesday,Tuesday,Morning,822,42482,1523,61.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Scraping Data from a Real Website | Web Scraping in Python,Tuesday,Tuesday,Morning,1523,657888,11673,930.0,17.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python', 'python web scraping', 'how to web scrape', 'web scraping in python']",0
SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,Thursday,Thursday,Afternoon,4108,236180,6614,332.0,10.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Find and Find_All | Web Scraping in Python,Tuesday,Tuesday,Morning,730,89509,2273,126.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python', 'python web scraping', 'web scraping with python', 'find and find_all']",0
500k Livestream!!,Wednesday,Wednesday,Afternoon,6232,6281,383,9.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
BeautifulSoup + Requests | Web Scraping in Python,Tuesday,Tuesday,Morning,418,214905,3758,298.0,6.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python', 'python web scraping', 'beautifulsoup', 'requests', 'beautifulsoup and requests']",0
Inspecting Web Pages with HTML | Web Scraping in Python,Tuesday,Tuesday,Morning,355,85960,2091,118.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python', 'python web scraping', 'web scraping in python']",0
Best Places to Find Datasets for Your Projects,Tuesday,Tuesday,Morning,464,220381,5454,300.0,8.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Exploratory Data Analysis in Pandas | Python Pandas Tutorials,Tuesday,Tuesday,Morning,1933,191321,4263,258.0,6.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'pandas', 'pandas python', 'python pandas', 'pandas tutorial', 'eda in python', 'eda in pandas', 'pandas eda', 'eda pandas', 'exploratory data analysis', 'exploratory data analysis in pandas']",0
Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,Tuesday,Tuesday,Afternoon,5548,10267,363,14.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
What is Microsoft Fabric? | New Data Analytics Platform!,Monday,Monday,Morning,443,318639,5937,425.0,8.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Data Cleaning in Pandas | Python Pandas Tutorials,Tuesday,Tuesday,Morning,2317,428877,10107,567.0,14.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'pandas', 'pandas tutorials', 'python pandas', 'pandas python', 'data cleaning', 'data cleaning in pandas', 'data cleaning in python', 'how to clean data', 'pandas data cleaning']",0
The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,Tuesday,Tuesday,Afternoon,4248,59006,1881,78.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
State of AI in Analytics | Will AI be the End of Data Analysts?,Monday,Monday,Morning,4352,46565,1379,61.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'AI Analytics', 'Analytics in AI']",0
Google Bard Got An Upgrade! + Google's New AI Announcements!,Friday,Friday,Morning,521,33383,799,44.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Google Bard', 'Bard', 'Bard AI', 'Bard Google', 'Bard Chatbot', 'Google ChatBot', 'Google I/O Conference', 'Google IO', 'Google I/O', 'Google Conference', 'Google Developer Conference', 'ChatGPT vs Bard', 'Bard vs ChatGPT', 'ChatGPT', 'ChatGPT Competitors']",0
Creating Visualizations using Pandas Library | Python Pandas Tutorials,Tuesday,Tuesday,Morning,1010,94744,2073,123.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'visualizations in pandas', 'pandas', 'pandas tutorials', 'charts in pandas', 'pandas visualization']",0
5 Study Hacks for Beginner Data Analysts! | Live Webinar,Monday,Monday,Afternoon,4650,46626,1356,53.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Merging DataFrames in Pandas | Python Pandas Tutorials,Tuesday,Tuesday,Morning,1329,150277,3228,194.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'pandas merge', 'merge pandas', 'pandas', 'pandas tutorial', 'join pandas', 'join in pandas', 'concatenate in pandas', 'concatenate pandas']",0
Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,Thursday,Thursday,Afternoon,5944,10324,338,14.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
How to Integrate ChatGPT in Jupyter Notebooks for Free!,Tuesday,Tuesday,Morning,481,65530,1251,84.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Chatgpt', 'Jupyter notebooks', 'Add ChatGPT', 'ChatGPT in Jupyter Notebooks']",0
7 Ways to Use ChatGPT for Analytics | Webinar,Tuesday,Tuesday,Afternoon,4135,39367,1078,50.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Google Business Intelligence Professional Certification Review,Tuesday,Tuesday,Morning,424,46593,1260,59.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Google certifications', 'Google Business Certification', 'Google Business Intelligence Certification on Course', 'Coursera Google Certification']",0
Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,Monday,Monday,Morning,695,159871,4523,200.0,6.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Google Certification', 'Google Data Analyst', 'Google Data Analyst Certification', 'Google Advanced Data Analyst', 'Google Advanced Data analytics', 'Google Advanced Data Analytics Certification', 'Google Advanced Data Analytics Certification Review']",0
Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,Tuesday,Tuesday,Morning,665,120798,2912,150.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'pandas', 'pandas group by', 'group by in pandas', 'aggregating in pandas', 'agg pandas', 'pandas agg', 'pangas group_by', 'groupby pandas', 'pandas groupby', 'pandas tutorial', 'python pandas tutorial']",0
Top 5 Biggest Mistakes Beginner Data Analysts Make,Tuesday,Tuesday,Morning,534,39752,1797,49.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Indexes in Pandas | Python Pandas Tutorials,Tuesday,Tuesday,Morning,682,76289,1715,94.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'pandas', 'pandas tutorial', 'coding', 'python', 'python pandas', 'index in pandas', 'pandas index', 'index pandas', 'how to use indexes in pandas']",0
Create the Perfect Data Analyst Resume | Free Templates!,Tuesday,Tuesday,Morning,1057,234026,6351,283.0,8.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst resume', 'creating a resume', 'resume', 'resume for data analysis', 'resume for data analysts', 'how to create a resume', 'how to create a data analyst resume', 'resume for analysts']",0
Filtering Columns and Rows in Pandas | Python Pandas Tutorials,Tuesday,Tuesday,Morning,709,123334,2546,148.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'pandas', 'pandas python', 'coding', 'filtering pandas', 'ordering pandas', 'how to filter in pandas', 'how to order in pandas', 'pandas order by', 'pandas filter', 'pandas loc', 'pandas iloc']",0
Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,Thursday,Thursday,Morning,5296,11211,392,14.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
Reading in Files in Pandas | Python Pandas Tutorials,Tuesday,Tuesday,Morning,1157,250808,4064,299.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Pandas', 'pandas python', 'python pandas', 'pandas tutorials', 'pandas tutorial', 'reading in files', 'python read in files', 'pandas read in file']",0
Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,Tuesday,Tuesday,Morning,1011,81798,1784,97.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python project', 'python project for beginners']",0
ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,Tuesday,Tuesday,Morning,1867,448876,8310,526.0,10.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Chat gpt', 'Chatgpt', 'Chatgpt for data analysis', 'data analyst using chatgpt', 'chatgpt 3.5', 'chatgpt for data analysts', 'data analyst chatgpt', 'chatgpt data analyst']",0
FREE Data Analyst Bootcamp!!,Tuesday,Tuesday,Morning,412,2036243,48329,2363.0,57.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst bootcamp', 'data analytics bootcamp', 'become a data nalyst', 'free bootcamp', 'free data bootcamp', 'free data analyst bootcamp']",0
How to Become a Data Analyst in 2023 (Completely FREE!),Tuesday,Tuesday,Morning,839,1361567,44463,1567.0,52.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst 2023', 'how to become a data analyst', 'data analyst guide', 'guide to become a data analyst']",0
Live Portfolio Review with Alex the Analyst!  | Live Webinar,Wednesday,Wednesday,Afternoon,4217,17804,632,21.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
DIY Data Analyst Curriculum using Udemy (Under $75),Tuesday,Tuesday,Morning,769,41491,1478,48.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'diy data analyst curriculum using udemy', 'udemy courses', 'best udemy courses', 'data analyst udemy', 'build your own courses on udemy', 'udemy']",0
Reviewing Maven Analytics Free Portfolio Website,Tuesday,Tuesday,Morning,1356,28666,835,33.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'maven analytics', 'maven analytics data analyst', 'maven analytics showcase', 'maven analytics portfolio', 'maven analytics portfolio website', 'Portfolio on maven analytics']",0
DIY Data Analyst Curriculum using Coursera in 2023,Tuesday,Tuesday,Morning,752,65430,3025,74.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'coursera', 'data analyst courses', 'best coursera courses', 'diy data analyst curriculum coursera', 'cousera data analyst']",0
Building a BMI Calculator with Python | Python Projects for Beginners,Tuesday,Tuesday,Morning,863,101569,2060,114.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'bmi calculator', 'python calculator', 'python bmi calculator', 'how to create a bmi calculator in python', 'how to create a bmi calculator']",0
"Reading, Writing, and Appending Files in Python | Python for Beginners",Tuesday,Tuesday,Morning,564,12025,324,14.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'reading files in python', 'working with files in python', 'appending files in python', 'writing to files in python', 'python files']",0
Why I Quit my 125k Analytics Job,Tuesday,Tuesday,Morning,463,158192,8711,174.0,10.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'quitting my job', 'why I quit my job', 'why I quit', 'quitting my analytics job', 'why I quit my analytics job', 'why I left', 'why I left my job', 'why I left my analytics job']",0
Converting Data Types in Python | Python for Beginners,Tuesday,Tuesday,Morning,396,60117,1571,66.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data types in python', 'converting data types in python', 'converting data types', 'python converting data types']",0
Functions in Python | Python for Beginners,Tuesday,Tuesday,Morning,764,97217,2119,106.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'functions', 'functions in python', 'how to use functions in python', 'python functions']",0
While Loops in Python | Python for Beginners,Tuesday,Tuesday,Morning,340,94418,2264,102.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'while loops in python', 'python while loops', 'while loops', 'while loop in python', 'how to use a while loop', 'how to use a while loop in python']",0
For Loops in Python | Python for Beginners,Tuesday,Tuesday,Morning,557,86747,1912,93.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'for loops in python', 'for loops', 'how to use for loops', 'how to use for loops in python', 'python for loops', 'for loop', 'for loop in python']",0
Data Analyst Q/A Livestream | November Livestream,Tuesday,Tuesday,Evening,3737,6311,199,7.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
If Else Statements in Python | Python for Beginners,Tuesday,Tuesday,Morning,400,72828,1764,77.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'if statements in python', 'if else statements in python', 'if/else statements in python', 'python if else statements', 'if else statements', 'if/else statements', 'if/else python', 'python if/else']",0
"Comparison, Logical, and Membership Operators in Python | Python for Beginners",Tuesday,Tuesday,Morning,435,73162,1807,77.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'operators in python', 'logical operators in python', 'python operators', 'membership operators in python', 'comparison operators in python', 'python logical operators', 'python membership operators', 'python comparison operators', 'python for beginners']",0
Data Types in Python | Python for Beginners,Tuesday,Tuesday,Morning,1318,170849,3768,178.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Data Types', 'Data Types in Python', 'Python Data Types', 'Types of data in python']",0
Data Analyst Q/A Livestream | October Livestream,Sunday,Sunday,Evening,4498,5745,181,6.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
Variables in Python | Python for Beginners,Tuesday,Tuesday,Morning,797,159602,3315,166.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python variables', 'variables in python', 'how to use variables', 'how to use variables in python', 'variables']",0
300k Livestream! | Giveaways for People in Chat | Bring Your Wine,Wednesday,Wednesday,Morning,5064,5278,243,6.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Installing Jupyter Notebooks/Anaconda | Python for Beginners,Tuesday,Tuesday,Morning,603,519854,7410,534.0,8.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python for beginners', 'how to install jupyter notebooks', 'how to install anaconda', 'how to use python', 'python']",0
Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,Thursday,Thursday,Morning,1326,9668,333,10.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Tina Huang', 'Tina Huang YouTube', 'Tina Huang Interview', 'Interviewing Tina Huang']",0
Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,Tuesday,Tuesday,Morning,1466,7645,335,8.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Luke barrouse', 'luke barrouse data', 'luke barousse data analyst', 'luke barrouse interview', 'interviewing luke barousse']",0
When Best Friends Work Together (ft. Luke Barousse),Tuesday,Tuesday,Morning,335,16223,693,17.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'working with friends', 'when best friends work together']",0
Data Analyst Live Stream | Riding out Hurricane Ian,Friday,Friday,Evening,5588,6790,212,7.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Full Power BI Guided Project | Microsoft Power BI for Beginners,Tuesday,Tuesday,Morning,2557,552089,10166,555.0,11.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'full project in power bi', 'power bi project', 'full power bi project', 'real project in power bi', 'power bi real project', 'power bi', 'power bi tutorial', 'how to use power bi', 'power bi guided project', 'guided project in power bi']",0
Popular Visualizations in Power BI | Microsoft Power BI for Beginners,Tuesday,Tuesday,Morning,854,168616,3511,169.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'power bi', 'power bi tutorial', 'how to use power bi', 'power bi visualization', 'power bi visualizations', 'different visualizations in power bi', 'popular visualizations in power bi']",0
